kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Alok Barat;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Alok Barat;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Alok Barat;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Alok Barat;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Alok Barat;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Alok Barat;palem_palm_pohon_tree;8;-;-;-;-;5.6
Alok Barat;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Alok Barat;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Alok Barat;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Alok Barat;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Alok Barat;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Alok Barat;mangga_mango_kw_qui;1;3.874;788;907;537;5.7
Alok Barat;durian_durian_kw_qui;2;-;-;-;-;5.7
Alok Barat;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Alok Barat;pisang_banana_kw_qui;4;2.567;2.705;4.708;2.220;5.7
Alok Barat;pepaya_papaya_kw_qui;5;12.778;7.967;6.408;3.431;5.7
Alok Barat;salak_snakefruit_kw_qui;6;-;-;-;-;5.7
Alok Barat;alpukat_avocado_kw_qui;7;42;73;68;70;5.7
Alok Barat;jambu_biji_guava_kw_qui;8;81;156;150;122;5.7
Alok Barat;nangka_cempedak_jackfruit_kw_qui;9;1.056;657;321;213;5.7
Alok Barat;nenas_pineapple_kw_qui;10;63;168;54;18;5.7
Alok Barat;rambutan_rambutan_kw_qui;11;-;-;-;-;5.7
Alok Barat;salak_snakefruit_kw_qui;12;-;-;-;-;5.7
Alok Barat;sirsak_soursop_kw_qui;13;468;765;206;195;5.7
Alok Timur;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Alok Timur;cabai_besar_chili_big_chili_ha_ha;2;-;NA;NA;NA;5.1
Alok Timur;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;-;-;5.1
Alok Timur;cabai_rawit_chili_cayenne_pepper_ha_ha;4;-;-;-;-;5.1
Alok Timur;kentang_potato_ha_ha;5;-;-;-;-;5.1
Alok Timur;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Alok Timur;tomat_tomato_ha_ha;7;-;-;-;-;5.1
Alok Timur;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Alok Timur;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Alok Timur;cabai_besar_chili_big_chili_kw_qui;2;-;NA;NA;NA;5.2
Alok Timur;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;-;-;5.2
Alok Timur;cabai_rawit_chili_cayenne_pepper_kw_qui;4;-;-;-;-;5.2
Alok Timur;kentang_potato_kw_qui;5;-;-;-;-;5.2
Alok Timur;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Alok Timur;tomat_tomato_kw_qui;7;-;-;-;-;5.2
Alok Timur;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Alok Timur;jahe_ginger_m2_m2;1;-;-;-;5;5.3
Alok Timur;laos_lengkuas_galanga_m2_m2;2;-;-;-;5;5.3
Alok Timur;kencur_east_indian_galangal_m2_m2;3;-;-;-;4;5.3
Alok Timur;kunyit_turmeric_m2_m2;4;-;-;-;6;5.3
Alok Timur;jahe_ginger_kg_kg;1;-;-;-;17;5.4
Alok Timur;laos_lengkuas_galanga_kg_kg;2;-;-;-;17;5.4
Alok Timur;kencur_east_indian_galangal_kg_kg;3;-;-;-;14;5.4
Alok Timur;kunyit_turmeric_kg_kg;4;-;-;-;24;5.4
Alok Timur;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;40;9;5.5
Alok Timur;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Alok Timur;krisan_chrysantemum_m2_m2;3;-;-;140;8;5.5
Alok Timur;mawar_rose_m2_m2;4;-;-;90;10;5.5
Alok Timur;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Alok Timur;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;90;10;5.5
Alok Timur;bugenvil_m2_m2;7;NA;-;180;18;5.5
Alok Timur;palem_palm_pohon_tree;8;-;-;370;28;5.5
Alok Timur;pedang_pedangan_sanseviera_m2_m2;9;-;-;195;14;5.5
Alok Timur;pisang_pisangan_heliconia_m2_m2;10;-;-;132;23;5.5
Alok Timur;puring_croton_m2_m2;11;NA;-;160;13;5.5
Alok Timur;soka_ixora_m2_m2;12;-;-;118;13;5.5
Alok Timur;sri_rejeki_aglaonema_m2_m2;13;-;-;90;9;5.5
Alok Timur;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Alok Timur;krisan_chrysantemum_tangkai_stalks;3;-;-;175;12;5.6
Alok Timur;mawar_rose_tangkai_stalks;4;-;-;120;18;5.6
Alok Timur;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Alok Timur;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;140;22;5.6
Alok Timur;bugenvil_pohon_tree;7;NA;-;210;29;5.6
Alok Timur;palem_palm_pohon_tree;8;-;-;370;37;5.6
Alok Timur;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;195;20;5.6
Alok Timur;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;132;41;5.6
Alok Timur;puring_croton_pohon_tree;11;NA;-;160;18;5.6
Alok Timur;soka_ixora_pohon_tree;12;-;-;141;19;5.6
