"kecamatan";"tabel";"tingkat_nama";"tingkat_angka";"negeri_TA_2022_2023";"negeri_TA_2023_2024";"swasta_TA_2022_2023";"swasta_TA_2023_2024";"total_TA_2022_2023";"total_TA_2023_2024"
"Lela";"sekolah";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Lela";"sekolah";"SMK";"8";"-";"-";"1";"1";"1";"1"
"Lela";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Magepanda";"guru";"SD";"3";"70";"69";"43";"39";"113";"108"
"Magepanda";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Magepanda";"guru";"SMP";"5";"40";"40";"14";"14";"54";"54"
"Magepanda";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Magepanda";"guru";"SMA";"7";"31";"35";"-";"-";"31";"35"
"Magepanda";"guru";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Magepanda";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Magepanda";"murid";"SD";"3";"987";"974";"610";"611";"1.597";"1.585"
"Magepanda";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Magepanda";"murid";"SMP";"5";"365";"324";"272";"255";"637";"579"
"Magepanda";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Magepanda";"murid";"SMA";"7";"356";"352";"-";"-";"356";"352"
"Magepanda";"murid";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Magepanda";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Magepanda";"sekolah";"SD";"3";"6";"6";"3";"3";"9";"9"
"Magepanda";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Magepanda";"sekolah";"SMP";"5";"2";"2";"1";"1";"3";"3"
"Magepanda";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Magepanda";"sekolah";"SMA";"7";"1";"1";"-";"-";"1";"1"
"Magepanda";"sekolah";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Magepanda";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Mapitara";"guru";"SD";"3";"67";"57";"31";"29";"98";"86"
"Mapitara";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Mapitara";"guru";"SMP";"5";"12";"12";"15";"14";"27";"26"
"Mapitara";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Mapitara";"guru";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Mapitara";"guru";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Mapitara";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Mapitara";"murid";"SD";"3";"482";"475";"396";"408";"878";"883"
"Mapitara";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Mapitara";"murid";"SMP";"5";"103";"89";"162";"137";"265";"226"
"Mapitara";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Mapitara";"murid";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Mapitara";"murid";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Mapitara";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Mapitara";"sekolah";"SD";"3";"7";"7";"4";"4";"11";"11"
"Mapitara";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Mapitara";"sekolah";"SMP";"5";"1";"1";"1";"1";"2";"2"
"Mapitara";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Mapitara";"sekolah";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Mapitara";"sekolah";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Mapitara";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
