"kecamatan";"tabel";"tingkat_nama";"tingkat_angka";"negeri_TA_2022_2023";"negeri_TA_2023_2024";"swasta_TA_2022_2023";"swasta_TA_2023_2024";"total_TA_2022_2023";"total_TA_2023_2024"
"Waiblama";"murid";"SMA";"7";"120";"120";"-";"-";"120";"120"
"Waiblama";"murid";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Waiblama";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Waiblama";"sekolah";"SD";"3";"5";"6";"6";"5";"11";"11"
"Waiblama";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Waiblama";"sekolah";"SMP";"5";"3";"3";"-";"-";"3";"3"
"Waiblama";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Waiblama";"sekolah";"SMA";"7";"1";"1";"-";"-";"1";"1"
"Waiblama";"sekolah";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Waiblama";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Waigete";"guru";"SD";"3";"149";"145";"104";"101";"253";"246"
"Waigete";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Waigete";"guru";"SMP";"5";"56";"58";"48";"51";"104";"109"
"Waigete";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Waigete";"guru";"SMA";"7";"27";"29";"-";"-";"27";"29"
"Waigete";"guru";"SMK";"8";"-";"-";"5";"14";"5";"14"
"Waigete";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Waigete";"murid";"SD";"3";"1.647";"1.591";"1.624";"1.578";"3.271";"3.169"
"Waigete";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Waigete";"murid";"SMP";"5";"674";"643";"723";"663";"1.397";"1.306"
"Waigete";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Waigete";"murid";"SMA";"7";"231";"239";"-";"-";"231";"239"
"Waigete";"murid";"SMK";"8";"-";"-";"72";"66";"72";"66"
"Waigete";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Waigete";"sekolah";"SD";"3";"14";"14";"11";"11";"25";"25"
"Waigete";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Waigete";"sekolah";"SMP";"5";"3";"3";"5";"5";"8";"8"
"Waigete";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Waigete";"sekolah";"SMA";"7";"1";"1";"-";"-";"1";"1"
"Waigete";"sekolah";"SMK";"8";"-";"-";"1";"1";"1";"1"
"Waigete";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
