"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Magepanda";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Magepanda";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Magepanda";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Magepanda";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Magepanda";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Magepanda";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Mapitara";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Mapitara";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Mapitara";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Mapitara";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Mapitara";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Mapitara";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Mapitara";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Mapitara";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Mapitara";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Mapitara";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Mapitara";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Mapitara";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Mapitara";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Mego";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Mego";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Mego";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Mego";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Mego";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Mego";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Mego";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Mego";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Mego";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Mego";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Mego";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Mego";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Mego";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Nelle";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Nelle";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Nelle";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Nelle";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Nelle";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Nelle";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Nelle";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Nelle";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Nelle";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Nelle";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Nelle";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Nelle";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Nelle";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Nita";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Nita";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Nita";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Nita";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Nita";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Nita";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Nita";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Nita";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Nita";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Nita";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Nita";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Nita";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Nita";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Paga";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Paga";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Paga";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Paga";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Paga";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Paga";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Paga";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Paga";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Paga";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Paga";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Paga";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Paga";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Paga";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Palue";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Palue";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Palue";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Palue";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Palue";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Palue";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Palue";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Palue";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Palue";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Palue";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Palue";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Palue";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Palue";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Sikka";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"40";"9"
"Sikka";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Sikka";"krisan_chrysantemum_m2_m2";"3";"-";"-";"140";"8"
"Sikka";"mawar_rose_m2_m2";"4";"-";"-";"90";"10"
"Sikka";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Sikka";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"90";"10"
"Sikka";"bugenvil_m2_m2";"7";NA;"-";"180";"19"
"Sikka";"palem_palm_pohon_tree";"8";"-";"-";"370";"28"
"Sikka";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"195";"19"
"Sikka";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"132";"26"
"Sikka";"puring_croton_m2_m2";"11";NA;"-";"160";"13"
"Sikka";"soka_ixora_m2_m2";"12";"-";"-";"118";"13"
"Sikka";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"90";"9"
"Talibura";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Talibura";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Talibura";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Talibura";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Talibura";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Talibura";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Talibura";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Talibura";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Talibura";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Talibura";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Talibura";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Talibura";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Talibura";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Tana Wawo";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Tana Wawo";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Tana Wawo";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Tana Wawo";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Tana Wawo";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Tana Wawo";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Tana Wawo";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Tana Wawo";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Tana Wawo";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Tana Wawo";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Tana Wawo";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Tana Wawo";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Tana Wawo";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Waiblama";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Waiblama";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Waiblama";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Waiblama";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Waiblama";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Waiblama";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Waiblama";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Waiblama";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Waiblama";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Waiblama";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Waiblama";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Waiblama";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Waiblama";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Waigete";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Waigete";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Waigete";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Waigete";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Waigete";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Waigete";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Waigete";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Waigete";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Waigete";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Waigete";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Waigete";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Waigete";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Waigete";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
