"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Kangae";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Kewapante";"bawang_merah_shallots_ha_ha";"1";"1";"-";"-";"0"
"Kewapante";"cabai_besar_chili_big_chili_ha_ha";"2";"2";NA;NA;NA
"Kewapante";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"0";"0";"-"
"Kewapante";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"0";"1";"0"
"Kewapante";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Kewapante";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Kewapante";"tomat_tomato_ha_ha";"7";"0";"0";"1";"0"
"Kewapante";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Koting";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Koting";"cabai_besar_chili_big_chili_ha_ha";"2";"2";NA;NA;NA
"Koting";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"1";"1"
"Koting";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"1";"2";"1";"1"
"Koting";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Koting";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Koting";"tomat_tomato_ha_ha";"7";"2";"1";"1";"0"
"Koting";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Lela";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Lela";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Lela";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"0";"0";"1"
"Lela";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"2";"2";"3";"4"
"Lela";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Lela";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Lela";"tomat_tomato_ha_ha";"7";"2";"5";"5";"5"
"Lela";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Magepanda";"bawang_merah_shallots_ha_ha";"1";"7";"3";"3";"5"
"Magepanda";"cabai_besar_chili_big_chili_ha_ha";"2";"10";NA;NA;NA
"Magepanda";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"-";"-"
"Magepanda";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"15";"6";"4";"0"
"Magepanda";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Magepanda";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Magepanda";"tomat_tomato_ha_ha";"7";"10";"14";"2";"7"
"Magepanda";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Mapitara";"bawang_merah_shallots_ha_ha";"1";"-";"3";"-";"-"
"Mapitara";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Mapitara";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"-";"1"
"Mapitara";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"5";"6";"1";"-"
"Mapitara";"kentang_potato_ha_ha";"5";"-";"5";"8";"2"
"Mapitara";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Mapitara";"tomat_tomato_ha_ha";"7";"1";"1";"1";"1"
"Mapitara";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Mego";"bawang_merah_shallots_ha_ha";"1";"3";"-";"-";"-"
"Mego";"cabai_besar_chili_big_chili_ha_ha";"2";"10";NA;NA;NA
"Mego";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"1";"2";"1"
"Mego";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"10";"3";"5";"2"
"Mego";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Mego";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Mego";"tomat_tomato_ha_ha";"7";"8";"2";"5";"7"
"Mego";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Nelle";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Nelle";"cabai_besar_chili_big_chili_ha_ha";"2";"0";NA;NA;NA
"Nelle";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"1";"0";"0"
"Nelle";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"1";"1";"0";"1"
"Nelle";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Nelle";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Nelle";"tomat_tomato_ha_ha";"7";"0";"1";"1";"1"
"Nelle";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Nita";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Nita";"cabai_besar_chili_big_chili_ha_ha";"2";"7";NA;NA;NA
"Nita";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"7";"21";"18"
"Nita";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"6";"7";"18";"12"
"Nita";"kentang_potato_ha_ha";"5";"-";"-";"-";"1"
"Nita";"kubis_cabbage_ha_ha";"6";"0";"1";"-";"-"
"Nita";"tomat_tomato_ha_ha";"7";"14";"13";"25";"27"
"Nita";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Paga";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Paga";"cabai_besar_chili_big_chili_ha_ha";"2";"2";NA;NA;NA
"Paga";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"2";"4";"3"
"Paga";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"7";"3";"3";"2"
"Paga";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Paga";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Paga";"tomat_tomato_ha_ha";"7";"3";"2";"2";"3"
"Paga";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Palue";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Palue";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Palue";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"1";"-"
"Palue";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"0";"0";"0"
"Palue";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Palue";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Palue";"tomat_tomato_ha_ha";"7";"-";"-";"-";"0"
"Palue";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Sikka";"bawang_merah_shallots_ha_ha";"1";"29";"23";"23";"19"
"Sikka";"cabai_besar_chili_big_chili_ha_ha";"2";"46";NA;NA;NA
"Sikka";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"17";"35";"29"
"Sikka";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"75";"56";"67";"41"
"Sikka";"kentang_potato_ha_ha";"5";"-";"5";"8";"3"
"Sikka";"kubis_cabbage_ha_ha";"6";"3";"5";"4";"2"
"Sikka";"tomat_tomato_ha_ha";"7";"65";"61";"69";"68"
"Sikka";"bawang_putih_garlic_ha_ha";"8";"1";"-";"-";"-"
"Talibura";"bawang_merah_shallots_ha_ha";"1";"1";"3";"1";"1"
"Talibura";"cabai_besar_chili_big_chili_ha_ha";"2";"4";NA;NA;NA
"Talibura";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"-";"-"
"Talibura";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"2";"8";"6"
"Talibura";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Talibura";"kubis_cabbage_ha_ha";"6";"2";"2";"1";"-"
"Talibura";"tomat_tomato_ha_ha";"7";"3";"3";"7";"5"
"Talibura";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Tana Wawo";"bawang_merah_shallots_ha_ha";"1";"7";"7";"5";"4"
"Tana Wawo";"cabai_besar_chili_big_chili_ha_ha";"2";"5";NA;NA;NA
"Tana Wawo";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"2";"2";"-"
"Tana Wawo";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"18";"17";"13";"5"
"Tana Wawo";"kentang_potato_ha_ha";"5";"-";"-";"-";"0"
"Tana Wawo";"kubis_cabbage_ha_ha";"6";"-";"1";"-";"-"
"Tana Wawo";"tomat_tomato_ha_ha";"7";"7";"5";"1";"0"
"Tana Wawo";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Waiblama";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Waiblama";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Waiblama";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"2";"-";"-"
"Waiblama";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"4";"1";"-";"-"
"Waiblama";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Waiblama";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Waiblama";"tomat_tomato_ha_ha";"7";"-";"1";"1";"-"
"Waiblama";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Waigete";"bawang_merah_shallots_ha_ha";"1";"2";"1";"4";"1"
"Waigete";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Waigete";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"0";"2";"1"
"Waigete";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"2";"5";"5";"4"
"Waigete";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Waigete";"kubis_cabbage_ha_ha";"6";"1";"2";"4";"2"
"Waigete";"tomat_tomato_ha_ha";"7";"3";"6";"10";"1"
"Waigete";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
