"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Palue";"jahe_ginger_kg_kg";"1";"420";"35";"1";"2"
"Palue";"laos_lengkuas_galanga_kg_kg";"2";"520";"-";"1";"3"
"Palue";"kencur_east_indian_galangal_kg_kg";"3";"150";"1";"1";"4"
"Palue";"kunyit_turmeric_kg_kg";"4";"210";"78";"1";"3"
"Sikka";"jahe_ginger_kg_kg";"1";"145.630";"152.591";"296.528";"171.025"
"Sikka";"laos_lengkuas_galanga_kg_kg";"2";"63.454";"130.879";"233.469";"102.245"
"Sikka";"kencur_east_indian_galangal_kg_kg";"3";"28.914";"70.002";"46.915";"29.478"
"Sikka";"kunyit_turmeric_kg_kg";"4";"105.246";"150.983";"227.293";"122.616"
"Talibura";"jahe_ginger_kg_kg";"1";"-";"-";"-";"-"
"Talibura";"laos_lengkuas_galanga_kg_kg";"2";"-";"-";"-";"-"
"Talibura";"kencur_east_indian_galangal_kg_kg";"3";"-";"-";"-";"-"
"Talibura";"kunyit_turmeric_kg_kg";"4";"-";"-";"-";"-"
"Tana Wawo";"jahe_ginger_kg_kg";"1";"19.000";"14.000";"37.750";"330"
"Tana Wawo";"laos_lengkuas_galanga_kg_kg";"2";"7.300";"5.410";"700";"220"
"Tana Wawo";"kencur_east_indian_galangal_kg_kg";"3";"9.300";"23.800";"22.800";"260"
"Tana Wawo";"kunyit_turmeric_kg_kg";"4";"20.750";"10.450";"26.300";"410"
"Waiblama";"jahe_ginger_kg_kg";"1";"242";"272";"203";"590"
"Waiblama";"laos_lengkuas_galanga_kg_kg";"2";"700";"249";"437";"100"
"Waiblama";"kencur_east_indian_galangal_kg_kg";"3";"343";"170";"103";"965"
"Waiblama";"kunyit_turmeric_kg_kg";"4";"323";"65";"52";"1.350"
"Waigete";"jahe_ginger_kg_kg";"1";"0";"11";"1";"-"
"Waigete";"laos_lengkuas_galanga_kg_kg";"2";"0";"5";"-";"-"
"Waigete";"kencur_east_indian_galangal_kg_kg";"3";"0";"11";"-";"96"
"Waigete";"kunyit_turmeric_kg_kg";"4";"0";"11";"-";"96"
