document.id,label,kode_wilayah,tahun_pendidikan,tabel,tingkat,negeri,swasta,negeri_swasta
17,Nita,5310070,2023/2024,Murid,SMP,819,341,1.160
18,Magepanda,5310071,2023/2024,Sekolah,SMP,2,1,3
18,Magepanda,5310071,2023/2024,Guru,SMP,40,14,54
18,Magepanda,5310071,2023/2024,Murid,SMP,324,255,579
19,Alok,5310080,2023/2024,Sekolah,SMP,3,6,9
19,Alok,5310080,2023/2024,Guru,SMP,74,128,202
19,Alok,5310080,2023/2024,Murid,SMP,1.005,1.882,2.887
20,Alok Barat,5310081,2023/2024,Sekolah,SMP,2,-,2
20,Alok Barat,5310081,2023/2024,Guru,SMP,52,-,52
20,Alok Barat,5310081,2023/2024,Murid,SMP,505,-,505
21,Alok Timur,5310082,2023/2024,Sekolah,SMP,3,6,9
21,Alok Timur,5310082,2023/2024,Guru,SMP,71,83,154
21,Alok Timur,5310082,2023/2024,Murid,SMP,896,1.127,2.023
22,Sikka,5310000,2023/2024,Sekolah,SMP,47,42,89
22,Sikka,5310000,2023/2024,Guru,SMP,884,599,1.483
22,Sikka,5310000,2023/2024,Murid,SMP,9.233,7.792,17.025
1,Paga,5310010,2023/2024,Sekolah,SMA,1,1,2
1,Paga,5310010,2023/2024,Guru,SMA,25,32,57
1,Paga,5310010,2023/2024,Murid,SMA,281,538,819
2,Mego,5310011,2023/2024,Sekolah,SMA,-,-,-
2,Mego,5310011,2023/2024,Guru,SMA,-,-,-
2,Mego,5310011,2023/2024,Murid,SMA,-,-,-
3,Tana Wawo,5310012,2023/2024,Sekolah,SMA,-,-,-
3,Tana Wawo,5310012,2023/2024,Guru,SMA,-,-,-
3,Tana Wawo,5310012,2023/2024,Murid,SMA,-,-,-
4,Lela,5310020,2023/2024,Sekolah,SMA,-,-,-
4,Lela,5310020,2023/2024,Guru,SMA,-,-,-
4,Lela,5310020,2023/2024,Murid,SMA,-,-,-
5,Bola,5310030,2023/2024,Sekolah,SMA,1,-,1
5,Bola,5310030,2023/2024,Guru,SMA,30,-,30
5,Bola,5310030,2023/2024,Murid,SMA,431,-,431
6,Doreng,5310031,2023/2024,Sekolah,SMA,1,-,1
6,Doreng,5310031,2023/2024,Guru,SMA,15,-,15
6,Doreng,5310031,2023/2024,Murid,SMA,126,-,126
7,Mapitara,5310032,2023/2024,Sekolah,SMA,-,-,-
7,Mapitara,5310032,2023/2024,Guru,SMA,-,-,-
7,Mapitara,5310032,2023/2024,Murid,SMA,-,-,-
8,Talibura,5310040,2023/2024,Sekolah,SMA,1,-,1
8,Talibura,5310040,2023/2024,Guru,SMA,49,-,49
8,Talibura,5310040,2023/2024,Murid,SMA,708,-,708
9,Waigete,5310041,2023/2024,Sekolah,SMA,1,-,1
9,Waigete,5310041,2023/2024,Guru,SMA,29,-,29
9,Waigete,5310041,2023/2024,Murid,SMA,239,-,239
10,Waiblama,5310042,2023/2024,Sekolah,SMA,1,-,1
10,Waiblama,5310042,2023/2024,Guru,SMA,18,-,18
10,Waiblama,5310042,2023/2024,Murid,SMA,120,-,120
11,Kewapante,5310050,2023/2024,Sekolah,SMA,-,1,1
11,Kewapante,5310050,2023/2024,Guru,SMA,-,19,19
11,Kewapante,5310050,2023/2024,Murid,SMA,-,138,138
12,Hewokloang,5310051,2023/2024,Sekolah,SMA,-,1,1
12,Hewokloang,5310051,2023/2024,Guru,SMA,-,18,18
12,Hewokloang,5310051,2023/2024,Murid,SMA,-,83,83
13,Kangae,5310052,2023/2024,Sekolah,SMA,1,-,1
13,Kangae,5310052,2023/2024,Guru,SMA,20,-,20
13,Kangae,5310052,2023/2024,Murid,SMA,105,-,105
14,Palue,5310061,2023/2024,Sekolah,SMA,-,-,-
14,Palue,5310061,2023/2024,Guru,SMA,-,-,-
14,Palue,5310061,2023/2024,Murid,SMA,-,-,-
15,Koting,5310062,2023/2024,Sekolah,SMA,-,-,-
15,Koting,5310062,2023/2024,Guru,SMA,-,-,-
15,Koting,5310062,2023/2024,Murid,SMA,-,-,-
16,Nelle,5310063,2023/2024,Sekolah,SMA,-,-,-
16,Nelle,5310063,2023/2024,Guru,SMA,-,-,-
16,Nelle,5310063,2023/2024,Murid,SMA,-,-,-
17,Nita,5310070,2023/2024,Sekolah,SMA,1,-,1
17,Nita,5310070,2023/2024,Guru,SMA,48,-,48
17,Nita,5310070,2023/2024,Murid,SMA,775,-,775
18,Magepanda,5310071,2023/2024,Sekolah,SMA,1,-,1
18,Magepanda,5310071,2023/2024,Guru,SMA,35,-,35
18,Magepanda,5310071,2023/2024,Murid,SMA,352,-,352
19,Alok,5310080,2023/2024,Sekolah,SMA,3,5,8
19,Alok,5310080,2023/2024,Guru,SMA,157,131,288
19,Alok,5310080,2023/2024,Murid,SMA,2.687,1.482,4.169
20,Alok Barat,5310081,2023/2024,Sekolah,SMA,-,-,-
20,Alok Barat,5310081,2023/2024,Guru,SMA,-,-,-
20,Alok Barat,5310081,2023/2024,Murid,SMA,-,-,-
21,Alok Timur,5310082,2023/2024,Sekolah,SMA,-,4,4
21,Alok Timur,5310082,2023/2024,Guru,SMA,-,96,96
21,Alok Timur,5310082,2023/2024,Murid,SMA,-,1.065,1.065
22,Sikka,5310000,2023/2024,Sekolah,SMA,12,12,24
22,Sikka,5310000,2023/2024,Guru,SMA,426,296,722
22,Sikka,5310000,2023/2024,Murid,SMA,5.824,3.306,9.130
