kecamatan_subdistrict,komoditas,y2020,y2021,y2022,y2023,name,no_komoditas,tabel
Kangae,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Kangae,tomat_tomato_ha_ha,1,1,3,8,tomat_tomato,7,tbl_5.1
Kangae,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Palue,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Palue,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Palue,cabai_rawit_chili_cayenne_pepper_ha_ha,-,0,0,0,cabai_rawit,4,tbl_5.1
Palue,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Palue,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Palue,tomat_tomato_ha_ha,-,-,-,0,tomat_tomato,7,tbl_5.1
Palue,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Koting,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Koting,cabai_besar_chili_big_chili_ha_ha,2,...,...,...,cabai_besar,2,tbl_5.1
Koting,cabai_rawit_chili_cayenne_pepper_ha_ha,1,2,1,1,cabai_rawit,4,tbl_5.1
Koting,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Koting,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Koting,tomat_tomato_ha_ha,2,1,1,0,tomat_tomato,7,tbl_5.1
Koting,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Nelle,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Nelle,cabai_besar_chili_big_chili_ha_ha,0,...,...,...,cabai_besar,2,tbl_5.1
Nelle,cabai_rawit_chili_cayenne_pepper_ha_ha,1,1,0,1,cabai_rawit,4,tbl_5.1
Nelle,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Nelle,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Nelle,tomat_tomato_ha_ha,0,1,1,1,tomat_tomato,7,tbl_5.1
Nelle,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Nita,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Nita,cabai_besar_chili_big_chili_ha_ha,7,...,...,...,cabai_besar,2,tbl_5.1
Nita,cabai_rawit_chili_cayenne_pepper_ha_ha,6,7,18,12,cabai_rawit,4,tbl_5.1
Nita,kentang_potato_ha_ha,-,-,-,1,kentang_potato,5,tbl_5.1
Nita,kubis_cabbage_ha_ha,0,1,-,-,kubis_cabbage,6,tbl_5.1
Nita,tomat_tomato_ha_ha,14,13,25,27,tomat_tomato,7,tbl_5.1
Nita,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Magepanda,bawang_merah_shallots_ha_ha,7,3,3,5,bawang_merah,1,tbl_5.1
Magepanda,cabai_besar_chili_big_chili_ha_ha,10,...,...,...,cabai_besar,2,tbl_5.1
Magepanda,cabai_rawit_chili_cayenne_pepper_ha_ha,15,6,4,0,cabai_rawit,4,tbl_5.1
Magepanda,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Magepanda,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Magepanda,tomat_tomato_ha_ha,10,14,2,7,tomat_tomato,7,tbl_5.1
Magepanda,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Alok,bawang_merah_shallots_ha_ha,2,-,1,1,bawang_merah,1,tbl_5.1
Alok,cabai_besar_chili_big_chili_ha_ha,2,...,...,...,cabai_besar,2,tbl_5.1
Alok,cabai_rawit_chili_cayenne_pepper_ha_ha,3,0,1,1,cabai_rawit,4,tbl_5.1
Alok,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Alok,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Alok,tomat_tomato_ha_ha,-,0,2,1,tomat_tomato,7,tbl_5.1
Alok,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Alok Barat,bawang_merah_shallots_ha_ha,3,5,9,6,bawang_merah,1,tbl_5.1
Alok Barat,cabai_besar_chili_big_chili_ha_ha,2,...,...,...,cabai_besar,2,tbl_5.1
Alok Barat,cabai_rawit_chili_cayenne_pepper_ha_ha,2,1,1,1,cabai_rawit,4,tbl_5.1
Alok Barat,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Alok Barat,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Alok Barat,tomat_tomato_ha_ha,14,7,4,2,tomat_tomato,7,tbl_5.1
Alok Barat,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Alok Timur,bawang_merah_shallots_ha_ha,-,-,-,-,bawang_merah,1,tbl_5.1
Alok Timur,cabai_besar_chili_big_chili_ha_ha,-,...,...,...,cabai_besar,2,tbl_5.1
Alok Timur,cabai_rawit_chili_cayenne_pepper_ha_ha,-,-,-,-,cabai_rawit,4,tbl_5.1
Alok Timur,kentang_potato_ha_ha,-,-,-,-,kentang_potato,5,tbl_5.1
Alok Timur,kubis_cabbage_ha_ha,-,-,-,-,kubis_cabbage,6,tbl_5.1
Alok Timur,tomat_tomato_ha_ha,-,-,-,-,tomat_tomato,7,tbl_5.1
Alok Timur,bawang_putih_garlic_ha_ha,-,-,-,-,bawang_putih,8,tbl_5.1
Sikka,bawang_merah_shallots_ha_ha,29,23,23,19,bawang_merah,1,tbl_5.1
Sikka,cabai_besar_chili_big_chili_ha_ha,46,...,...,...,cabai_besar,2,tbl_5.1
Sikka,cabai_rawit_chili_cayenne_pepper_ha_ha,75,56,67,41,cabai_rawit,4,tbl_5.1
Sikka,kentang_potato_ha_ha,-,5,8,3,kentang_potato,5,tbl_5.1
Sikka,kubis_cabbage_ha_ha,3,5,4,2,kubis_cabbage,6,tbl_5.1
Sikka,tomat_tomato_ha_ha,65,61,69,68,tomat_tomato,7,tbl_5.1
Sikka,bawang_putih_garlic_ha_ha,1,-,-,-,bawang_putih,8,tbl_5.1
Paga,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,1,-,cabai_besar,2,tbl_5.1
Paga,cabai_keriting_chili_curly_chili_ha_ha,...,2,4,3,cabai_keriting,3,tbl_5.1
Mego,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,2,1,1,cabai_besar,2,tbl_5.1
Mego,cabai_keriting_chili_curly_chili_ha_ha,...,1,2,1,cabai_keriting,3,tbl_5.1
Tana Wawo,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,3,2,0,cabai_besar,2,tbl_5.1
Tana Wawo,cabai_keriting_chili_curly_chili_ha_ha,...,2,2,-,cabai_keriting,3,tbl_5.1
Lela,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,0,1,0,cabai_besar,2,tbl_5.1
Lela,cabai_keriting_chili_curly_chili_ha_ha,...,0,0,1,cabai_keriting,3,tbl_5.1
Bola,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,-,-,cabai_besar,2,tbl_5.1
Bola,cabai_keriting_chili_curly_chili_ha_ha,...,-,-,-,cabai_keriting,3,tbl_5.1
Doreng,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,-,-,cabai_besar,2,tbl_5.1
Doreng,cabai_keriting_chili_curly_chili_ha_ha,...,-,-,-,cabai_keriting,3,tbl_5.1
Mapitara,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,-,-,cabai_besar,2,tbl_5.1
Mapitara,cabai_keriting_chili_curly_chili_ha_ha,...,-,-,1,cabai_keriting,3,tbl_5.1
Talibura,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,4,-,-,cabai_besar,2,tbl_5.1
Talibura,cabai_keriting_chili_curly_chili_ha_ha,...,-,-,-,cabai_keriting,3,tbl_5.1
Waigete,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,0,1,1,cabai_besar,2,tbl_5.1
Waigete,cabai_keriting_chili_curly_chili_ha_ha,...,0,2,1,cabai_keriting,3,tbl_5.1
Waiblama,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,-,-,cabai_besar,2,tbl_5.1
Waiblama,cabai_keriting_chili_curly_chili_ha_ha,...,2,-,-,cabai_keriting,3,tbl_5.1
Kewapante,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,0,-,-,cabai_besar,2,tbl_5.1
Kewapante,cabai_keriting_chili_curly_chili_ha_ha,...,0,0,-,cabai_keriting,3,tbl_5.1
Hewokloang,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,-,-,cabai_besar,2,tbl_5.1
Hewokloang,cabai_keriting_chili_curly_chili_ha_ha,...,-,-,0,cabai_keriting,3,tbl_5.1
Kangae,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,1,1,cabai_besar,2,tbl_5.1
Kangae,cabai_keriting_chili_curly_chili_ha_ha,...,0,2,-,cabai_keriting,3,tbl_5.1
Palue,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,-,0,cabai_besar,2,tbl_5.1
